edge_id,source,source_label,source_type,target,target_label,target_type,predicate,layer,assertion_count,source_count,source_ids,population,care_setting
edge:56f2f9f60403,concept:4a168b54caad,postoperative AKI,clinical_concept,setting:a2ffebdb6db9,General inpatient,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:681109896151,concept:e7b0cc281f13,severe acute kidney injury (AKI),clinical_concept,relation:837276742aa9,Prediction,relation,Participates in relation,relation_context,9,0,,,
edge:70ef5f4f51df,concept:2807f5d1984f,Cardiac surgery-associated acute kidney injury,clinical_concept,setting:04a3a8cdc90f,Cardiac surgery,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:719ac9d62a4e,concept:5968f4edfd74,CS-AKI,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,9,0,,,
edge:7f45f9a2dabf,concept:156be6eb85c9,HUS,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,9,0,,,
edge:84cf4d502bf9,concept:e7b0cc281f13,severe acute kidney injury (AKI),clinical_concept,setting:009f0c0461ec,PICU,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:ab3e8070a5ce,concept:e6bd2a03ca8f,preterm infants,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,9,0,,,
edge:abd0f8d3f9e6,concept:be594bc0b9db,renal function,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:b8b2c87de934,concept:6a523a52b63c,Diabetic ketoacidosis,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,9,0,,,
edge:bdef6f3e71d9,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,concept:c044de379dff,Kidney Disease: Improving Global Outcomes criteria,clinical_concept,Diagnosis or staging,empirical_assertion,9,9,PMID:28641607;PMID:30395106;PMID:33446916;PMID:34210376;PMID:34742257;PMID:36179241;PMID:37200952;PMID:38839382;PMID:40966765,Neonatal;Non-neonatal pediatric;Pediatric age unclear,Cardiac surgery;General inpatient;Not specified;Oncology or transplant
edge:cc6a9e929381,concept:186238cccd6f,Sepsis,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,9,0,,,
edge:ceeb51ab610b,concept:a5e582c4947e,severe acute kidney injury,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,9,0,,,
edge:cf604c36b287,concept:1da5a27f88be,CA-AKI,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,9,0,,,
edge:d2728c177a7e,concept:0f3162046e6d,renal injury,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:d31489a36393,concept:29166f0942dc,fluid overload,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,9,0,,,
edge:d41bab32dd7b,concept:0150705d6583,Neonatal AKI,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,9,0,,,
edge:e1dfbe572a6f,concept:cfed5392e86b,Rhabdomyolysis,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:eecd39cab2bf,concept:d1d50bf387fa,poor outcome,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,9,0,,,
edge:f4ce82e7346f,concept:b253b8446dc6,cardiac surgery-associated acute kidney injury,clinical_concept,setting:04a3a8cdc90f,Cardiac surgery,care_setting,Observed in care setting,care_setting_context,9,0,,,
edge:07c7642cc98d,concept:29166f0942dc,fluid overload,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,8,0,,,
edge:1a10bf70a29c,concept:162a81bb5a59,CI-AKI,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,8,0,,,
edge:2fd7673405b2,concept:5842cf7adf84,RAI,clinical_concept,relation:837276742aa9,Prediction,relation,Participates in relation,relation_context,8,0,,,
edge:3384e8acc6fc,concept:0b6baed8ee51,neonates,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,8,0,,,
edge:4779421c72ba,concept:a5cc06456c35,NEC,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,8,0,,,
edge:486387e110e8,concept:162a81bb5a59,CI-AKI,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,8,0,,,
edge:488b8b7c35d6,concept:ebcb3fbb8865,eculizumab,clinical_concept,relation:ddafb963e8e5,Management or intervention,relation,Participates in relation,relation_context,8,0,,,
edge:57f3bad33b94,concept:68ea491b092f,acute renal failure,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,8,0,,,
edge:5b845c8fb185,concept:4a168b54caad,postoperative AKI,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,8,0,,,
