source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,semantic_auroc,semantic_average_precision,delta_auroc_vs_semantic
eICU,MIMIC-III,state_logistic,icu_death,20108,0.09563357867515417,0.7090211527075325,0.2840084924369218,0.07934798914653163,0.02558292466783068,-0.4673794519325646,0.6932336898101333,0.06693277791142464,0.6365054602184087,0.6988177069012923,0.18265930458140575,0.9478630566122175,0.6209229947421707,0.1532350987033948,0.0880981579653618
eICU,MIMIC-III,state_xgboost,next_aki_progression,20108,0.1643624428088323,0.6263070683923508,0.21826354681237708,0.13342789195357674,0.022446898569732535,-0.28127523947871036,0.820746268746807,0.0895724717527628,0.9452344931921332,0.22734035588882937,0.19395293971565158,0.9547613096725819,0.5180498349522089,0.1670970135191751,0.10825723344014193
eICU,MIMIC-III,state_xgboost,next_aki_stage2_onset,17844,0.1842075767765075,0.5737012558648472,0.22022928433533961,0.1489819162762113,0.017544927125401264,-0.4351393211722377,0.6990940125887284,0.15891665160655974,0.7645269242470337,0.3414851961255753,0.2077031159599967,0.8652741514360314,,,
eICU,MIMIC-III,state_xgboost,next_aki_stage3_onset,19389,0.004848109752952705,0.7115165983911609,0.02107146681283446,0.0048043338884342,0.0030277309835584822,0.7644881276363025,1.2750994539019171,0.013698417060077208,0.3829787234042553,0.8939621663643431,0.01729106628242075,0.9966487548390824,,,
eICU,MIMIC-III,state_xgboost,hospital_death,20108,0.13412572110602744,0.7171023300724463,0.3442824634430807,0.10496600367661395,0.026495160430025803,-0.34026800163304854,0.7581174036941608,0.11841906279325486,0.6188357434186132,0.6952501292286486,0.2392831541218638,0.9217239016218686,0.6409374679430643,0.2178953904675423,0.076164862129382
eICU,MIMIC-III,state_xgboost,icu_death,20108,0.09563357867515417,0.7440150209802728,0.31064079667113864,0.07738854218478697,0.017599684921453994,-0.26988137194377926,0.780818033462442,0.0832773894071579,0.6157046281851274,0.7429749793786088,0.202116763400478,0.948140350877193,0.6209229947421707,0.1532350987033948,0.12309202623810211
eICU,MIMIC-IV,kdigo_lookup,next_aki_progression,29267,0.14128540677213244,0.5801932375052468,0.16386801274125373,0.11830375777829917,0.0014760907004693347,0.40232959586150263,1.2317591525503397,0.16128146400641524,0.9917775090689238,0.16823173643164094,0.16400719856028795,0.992022524636321,0.524391363540049,0.1486485824876579,0.05580187396519776
eICU,MIMIC-IV,kdigo_lookup,next_aki_stage2_onset,25005,0.16400719856028795,0.5,0.16400719856028795,0.1371167698874761,0.0028164706250641547,-0.4377663585216901,0.7220496617294239,0.1611907279352238,1.0,0.0,0.16400719856028795,0.0,,,
eICU,MIMIC-IV,kdigo_lookup,next_aki_stage3_onset,28114,0.0058689620829479976,0.45198060970360515,0.00536877242589298,0.005844792410080033,0.0032049025165794536,-0.2227311416284067,1.045327082412557,0.009070974260987168,1.0,0.0,0.0058689620829479976,0.0,,,
eICU,MIMIC-IV,kdigo_lookup,hospital_death,29267,0.12157036935797998,0.5121340896951658,0.1241126262204391,0.1066983749949137,0.0018429037757441286,-0.7053009132784444,0.6363848147255985,0.1260163440352207,0.8729623383923553,0.14819712940993426,0.12421515696860629,0.8939465039887377,0.6535770724927945,0.2269713714508466,-0.14144298279762868
eICU,MIMIC-IV,kdigo_lookup,icu_death,29262,0.0815733716082291,0.5115363801989459,0.08323766685848807,0.07490566495924687,0.008133735686005103,-0.32399656502383395,0.826849733445361,0.07688672620816804,0.8718056137410977,0.1472,0.08324,0.9282027217268888,0.6619988113911595,0.1740991633698546,-0.15046243119221359
