source_database,target_database,model,endpoint,bin_mean_prediction,bin_event_rate,n
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.0598770654739461,0.07807061163600199,2011
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.07092060366673256,0.09004975124378109,2010
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.08393699510929775,0.0870213823968175,2011
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.10107971679313689,0.11188463451019394,2011
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.12363133294442993,0.11940298507462686,2010
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.1568034108466974,0.15415216310293386,2011
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.21555550286036,0.19691695673794132,2011
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,0.37773046521391224,0.3893585280954749,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.01700946840692417,0.02834410740924913,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.023004210092338502,0.04027846842366982,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.028367379362579603,0.043262058677274985,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.034462078695014046,0.05323383084577114,2010
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.04232798873162993,0.05469915464942814,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.05341842573289845,0.06911984087518648,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.07049619832924053,0.08656716417910448,2010
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.09762692906810892,0.10641471904525111,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.14978148730787574,0.1531576330183988,2011
MIMIC-IV,MIMIC-III,state_logistic,icu_death,0.31253763167108845,0.32123321730482346,2011
