source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,direction,endpoint_label
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,28114,0.0058689620829479,0.7306083483227568,0.0496276353582765,0.0057924508105209,0.0033569630484082,1.1870421646791889,1.0779176838948124,0.0024542232509702,0.6181818181818182,0.7071451572507066,0.012308434898033,0.99682251475261,M-III → M-IV,Stage-3 onset
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,29267,0.1215703693579799,0.7679497587813762,0.3844382493023119,0.0917070274005809,0.0149107040813477,-0.1687235078720105,0.9879506850420876,0.1419249546527863,0.6396852164137156,0.7528491967793379,0.2637311703360371,0.9378785676212628,M-III → M-IV,Hospital death
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,29262,0.0815733716082291,0.8058624370378309,0.3574433936899281,0.0637283460846013,0.015373933497124,-0.1188519580229648,1.0591897079232837,0.1088939672708511,0.6740678676162547,0.7801674418604652,0.2140481575096448,0.964221660151759,M-III → M-IV,ICU death
MIMIC-III,eICU,kdigo_lookup,next_aki_progression,18776,0.1082765232211333,0.6708978730831385,0.1560082912935573,0.0925530229680213,0.0242428456751032,-0.822912163528578,0.5861278729419298,0.1885801190084585,0.9611411706837186,0.3741862270799737,0.1571750321750321,0.987547288776797,M-III → eICU,AKI progression
MIMIC-III,eICU,kdigo_lookup,next_aki_stage2_onset,12432,0.1571750321750321,0.5,0.1571750321750321,0.1334622725554157,0.0314838231415109,-0.5369051114348267,0.7832093788332168,0.1886588553165431,1.0,0.0,0.1571750321750321,0.0,M-III → eICU,Stage-2 onset
MIMIC-III,eICU,kdigo_lookup,next_aki_stage3_onset,15989,0.0103195947213709,0.3705024205656157,0.0085464504721493,0.0102690642926746,0.0074806081881674,-0.1290686541588041,0.7565184584401036,0.0028383828305597,1.0,0.0,0.0103195947213709,0.0,M-III → eICU,Stage-3 onset
MIMIC-III,eICU,kdigo_lookup,hospital_death,18776,0.1245739241585002,0.4466173368808414,0.1143736368793693,0.1093458537946885,0.0165803331274496,-0.45779461273811,0.8261494906635716,0.1409690318083515,1.0,0.0,0.1245739241585002,0.0,M-III → eICU,Hospital death
MIMIC-III,eICU,kdigo_lookup,icu_death,18774,0.077500798977309,0.4420435693353882,0.0706372535285772,0.071887496777806,0.0196953475284985,-0.4150413774903482,0.9248701668694028,0.0971280051124846,1.0,0.0,0.077500798977309,0.0,M-III → eICU,ICU death
MIMIC-III,eICU,state_logistic,next_aki_progression,18776,0.1082765232211333,0.7135219220319192,0.1893091100628595,0.0917595315028638,0.0194391139908358,-0.1840516388982675,0.9680130134157048,0.1465335482358932,0.7073290703394,0.5912918831750582,0.1736505252988769,0.9433063363506432,M-III → eICU,AKI progression
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,12432,0.1571750321750321,0.5697049264208696,0.1898535583990647,0.1321384206640247,0.0252580242965638,-0.4885611875279748,0.7741069189401188,0.1617014110088348,0.7139201637666326,0.3741171979385378,0.1754055073557148,0.8751953561062737,M-III → eICU,Stage-2 onset
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,15989,0.0103195947213709,0.6821485200845666,0.0295429812663825,0.0102358634308136,0.0070222165166433,2.109569143232965,1.1733843860592412,0.0067523688776418,0.2424242424242424,0.9242922143579372,0.0323101777059773,0.9915259982374076,M-III → eICU,Stage-3 onset
MIMIC-III,eICU,state_logistic,hospital_death,18776,0.1245739241585002,0.7350322111635489,0.3476158964785398,0.0963310609512308,0.0075439149798554,0.041251064706838,0.9795425322634936,0.1421142995357513,0.5352714835399743,0.7999634969885016,0.2757709251101322,0.923644282101714,M-III → eICU,Hospital death
MIMIC-III,eICU,state_logistic,icu_death,18774,0.077500798977309,0.764604949890165,0.3075880020682471,0.0625818969605903,0.0048450667926406,-0.0153216689510396,1.009526567774401,0.1150111082196235,0.5415807560137457,0.8475662567122814,0.2298716452742123,0.9565359051218558,M-III → eICU,ICU death
